ZONA,CÓDIGO ANTERIOR,EDIFICIO/AREA,NOMBRE DEL EDIFICACIÓN/ÁREA,NIVEL,TIPO DE ESPACIO ,DETALLE DEL ESPACIO,IDENTIFICADOR DE ESPACIO,SECUENCIA,ETIQUETA 
11,15A,A,GOBIERNO FIEC,0,SALA DE EVENTOS,SALA DE EXPOSICIONES Y EVENTOS MÚLTIPLES,,,SALA DE EVENTOS
11,15A,A,GOBIERNO FIEC,0,AUDITORIO,AUDITORIO DE FIEC,U,1,U001
11,15A,A,GOBIERNO FIEC,0,SALA DE REUNIONES,CONSEJO DIRECTIVO,S,1,S001
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,1,O001
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,2,O002
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,3,O003
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,4,O004
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,5,O005
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,6,O006
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE IOET,O,8,O008
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE CONTÍFICO,O,9,O009
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE SUDAMERICANA DE SOFTWARE,O,10,O010
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,11,O011
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,12,O012
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,13,O013
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,14,O014
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,15,O015
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,16,O016
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,17,O017
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,18,O018
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,19,O019
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,20,O020
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,21,O021
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,22,O022
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,23,O023
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,24,O024
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,25,O025
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,26,O026
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,27,O027
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,28,O028
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,29,O029
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,30,O030
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,31,O031
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,32,O032
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,33,O033
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,34,O034
11,15A,A,GOBIERNO FIEC,0,OFICINA,OFICINA DE PROFESOR,O,35,O035
