ZONA,CÓDIGO VIEJO,EDIFICIO/AREA,NOMBRE DEL EDIFICACIÓN/ÁREA,NIVEL,TIPO DE ESPACIO ,DETALLE DEL ESPACIO,IDENTIFICADOR DE ESPACIO,SECUENCIA,ETIQUETA 
3,37,A,GOBIERNO FCV,M,OFICINA,AREA ADMINISTRATIVA,O,,OM
3,37,A,GOBIERNO FCV,M,OFICINA,SUBDECANATO FCV,O,5,OM05
3,37,A,GOBIERNO FCV,M,OFICINA,OFICINA DEL DECANO FCV,O,6,OM06
3,37,A,CIDIS,0,LABORATORIO,LABORATORIO CIDIS,L,2,L002
3,37,A,CADS,0,OFICINA,DIRECTOR CADS,O,43,O043
3,36,B,ADMINISTRACIÓN FCV,1,AUDITORIO,Auditorio FCV,U,1,U101
3,37,A,CIPAT,0,OFICINA,Oficina CIPAT,O,29,O029
3,37,A,CENAIM,0,OFICINA,Oficina CENAIM,O,34,O034
3,33,M,LABET,0,OFICINA,LABET oficinas,O,1,O001
3,47,K,PROTAL (47),1,AUDITORIO,EVENTOS DE INVESTIGACIÓN PROTAL,U,1,U101
